Census year,CLUE small area,ANZSIC indusrty,Business size,Total establishments,Total jobs
2005,East Melbourne,Financial and Insurance Services,Large business,1,
2005,East Melbourne,Health Care and Social Assistance,Large business,5,4338
2005,East Melbourne,Health Care and Social Assistance,Medium business,10,488
2005,East Melbourne,Health Care and Social Assistance,Non employing,5,0
2005,East Melbourne,Health Care and Social Assistance,Small business,151,713
2005,East Melbourne,Manufacturing,Medium business,1,
2005,East Melbourne,Other Services,Large business,1,
2005,East Melbourne,Other Services,Medium business,6,366
2005,East Melbourne,"Professional, Scientific and Technical Services",Large business,1,
2005,East Melbourne,"Professional, Scientific and Technical Services",Medium business,11,658
2005,East Melbourne,"Professional, Scientific and Technical Services",Small business,67,581
2005,East Melbourne,"Rental, Hiring and Real Estate Services",Small business,6,50
2005,Kensington,Construction,Non employing,1,
2005,Kensington,Health Care and Social Assistance,Small business,9,42
2005,Kensington,Manufacturing,Small business,15,92
2005,Kensington,Other Services,Small business,11,57
2005,Kensington,Public Administration and Safety,Small business,2,
2005,Kensington,Retail Trade,Small business,7,40
2005,Kensington,"Transport, Postal and Warehousing",Small business,3,11
2005,Melbourne (CBD),Administrative and Support Services,Non employing,4,0
2005,Melbourne (CBD),Construction,Medium business,10,585
2005,Melbourne (CBD),Education and Training,Large business,7,3648
2005,Melbourne (CBD),Education and Training,Medium business,48,2838
2005,Melbourne (CBD),"Electricity, Gas, Water and Waste Services",Large business,5,2333
2005,Melbourne (CBD),"Electricity, Gas, Water and Waste Services",Small business,11,90
2005,Melbourne (CBD),Financial and Insurance Services,Large business,44,27221
2005,Melbourne (CBD),Financial and Insurance Services,Non employing,1,
2005,Melbourne (CBD),Financial and Insurance Services,Small business,449,3057
2005,Melbourne (CBD),Information Media and Telecommunications,Non employing,6,0
2005,Melbourne (CBD),Information Media and Telecommunications,Small business,152,997
2005,Melbourne (CBD),Mining,Large business,2,
2005,Melbourne (CBD),Mining,Medium business,4,335
2005,Melbourne (CBD),Other Services,Large business,2,
2005,Melbourne (CBD),Other Services,Medium business,37,1904
2005,Melbourne (CBD),Other Services,Non employing,35,0
2005,Melbourne (CBD),Other Services,Small business,529,2223
2005,Melbourne (CBD),Public Administration and Safety,Small business,63,486
2005,Melbourne (CBD),Retail Trade,Large business,5,3348
2005,Melbourne (CBD),Retail Trade,Medium business,71,3631
2005,Melbourne (CBD),Retail Trade,Non employing,13,0
2005,Melbourne (CBD),"Transport, Postal and Warehousing",Medium business,25,1510
2005,Melbourne (CBD),"Transport, Postal and Warehousing",Non employing,14,0
2005,Melbourne (CBD),Wholesale Trade,Medium business,7,305
2005,Melbourne (Remainder),Accommodation and Food Services,Medium business,6,249
2005,Melbourne (Remainder),Accommodation and Food Services,Non employing,1,
2005,Melbourne (Remainder),Administrative and Support Services,Small business,21,118
2005,Melbourne (Remainder),Education and Training,Medium business,3,161
2005,Melbourne (Remainder),Health Care and Social Assistance,Large business,2,
2005,Melbourne (Remainder),Information Media and Telecommunications,Small business,6,35
2005,Melbourne (Remainder),Manufacturing,Small business,5,30
2005,Melbourne (Remainder),Other Services,Small business,22,73
2005,Melbourne (Remainder),"Professional, Scientific and Technical Services",Small business,53,376
2005,Melbourne (Remainder),Retail Trade,Small business,18,89
2005,Melbourne (Remainder),"Transport, Postal and Warehousing",Medium business,1,
2005,North Melbourne,Accommodation and Food Services,Non employing,5,0
2005,North Melbourne,"Agriculture, Forestry and Fishing",Small business,2,
2005,North Melbourne,Arts and Recreation Services,Medium business,4,168
2005,North Melbourne,Arts and Recreation Services,Small business,26,91
2005,North Melbourne,Construction,Medium business,5,145
2005,North Melbourne,Education and Training,Non employing,1,
2005,North Melbourne,Information Media and Telecommunications,Medium business,4,151
2005,North Melbourne,Manufacturing,Small business,65,329
2005,North Melbourne,Other Services,Non employing,12,0
2005,North Melbourne,Retail Trade,Small business,94,440
2005,North Melbourne,"Transport, Postal and Warehousing",Medium business,5,150
2005,North Melbourne,"Transport, Postal and Warehousing",Non employing,2,
2005,North Melbourne,Wholesale Trade,Non employing,2,
2005,Parkville,Accommodation and Food Services,Small business,36,236
2005,Parkville,Administrative and Support Services,Small business,3,18
2005,Parkville,"Agriculture, Forestry and Fishing",Small business,1,
2005,Parkville,Arts and Recreation Services,Medium business,2,
2005,Parkville,Arts and Recreation Services,Non employing,14,0
2005,Parkville,Arts and Recreation Services,Small business,3,28
2005,Parkville,Education and Training,Medium business,6,390
2005,Parkville,Education and Training,Non employing,1,
2005,Parkville,Education and Training,Small business,5,49
2005,Parkville,"Electricity, Gas, Water and Waste Services",Non employing,9,0
2005,Parkville,Health Care and Social Assistance,Medium business,2,
2005,Parkville,Health Care and Social Assistance,Non employing,1,
2005,Parkville,Health Care and Social Assistance,Small business,35,182
2005,Parkville,Information Media and Telecommunications,Non employing,2,
2005,Parkville,Other Services,Small business,19,121
2019,Melbourne (CBD),Manufacturing,Non employing,1,
2019,Melbourne (CBD),Manufacturing,Small business,216,747
2019,Melbourne (CBD),Other Services,Small business,860,3971
2019,Melbourne (CBD),"Professional, Scientific and Technical Services",Large business,40,19173
2019,Melbourne (CBD),"Professional, Scientific and Technical Services",Medium business,483,25589
2019,Melbourne (CBD),"Professional, Scientific and Technical Services",Non employing,3,0
2019,Melbourne (CBD),"Professional, Scientific and Technical Services",Small business,1305,9082
2019,Melbourne (CBD),Public Administration and Safety,Large business,31,19861
2019,Melbourne (CBD),Public Administration and Safety,Non employing,2,
2019,Melbourne (CBD),"Rental, Hiring and Real Estate Services",Medium business,60,3718
2019,Melbourne (CBD),"Rental, Hiring and Real Estate Services",Non employing,9,0
2019,Melbourne (CBD),Retail Trade,Non employing,11,0
2019,Melbourne (CBD),"Transport, Postal and Warehousing",Non employing,6,0
2019,Melbourne (CBD),"Transport, Postal and Warehousing",Small business,54,357
2019,Melbourne (CBD),Wholesale Trade,Medium business,5,111
2019,Melbourne (Remainder),Accommodation and Food Services,Medium business,7,311
2019,Melbourne (Remainder),Accommodation and Food Services,Small business,38,224
2019,Melbourne (Remainder),Administrative and Support Services,Medium business,1,
2019,Melbourne (Remainder),Arts and Recreation Services,Medium business,11,1082
2019,Melbourne (Remainder),"Electricity, Gas, Water and Waste Services",Non employing,2,
2019,Melbourne (Remainder),Financial and Insurance Services,Large business,2,
2019,Melbourne (Remainder),Health Care and Social Assistance,Large business,3,6052
2019,Melbourne (Remainder),"Professional, Scientific and Technical Services",Medium business,11,695
2019,Melbourne (Remainder),"Rental, Hiring and Real Estate Services",Small business,9,39
2019,Melbourne (Remainder),Retail Trade,Medium business,1,
2019,Melbourne (Remainder),Wholesale Trade,Small business,4,27
2019,North Melbourne,Accommodation and Food Services,Non employing,8,0
2019,North Melbourne,Administrative and Support Services,Small business,29,170
2019,North Melbourne,Arts and Recreation Services,Large business,1,
2019,North Melbourne,Health Care and Social Assistance,Large business,1,
2019,North Melbourne,Health Care and Social Assistance,Non employing,1,
2019,North Melbourne,Information Media and Telecommunications,Small business,12,81
2019,North Melbourne,Manufacturing,Medium business,6,201
2019,North Melbourne,Public Administration and Safety,Small business,6,32
2019,North Melbourne,"Rental, Hiring and Real Estate Services",Medium business,2,
2019,North Melbourne,"Transport, Postal and Warehousing",Non employing,4,0
2019,North Melbourne,"Transport, Postal and Warehousing",Small business,16,80
2019,North Melbourne,Wholesale Trade,Medium business,4,167
2019,Parkville,Administrative and Support Services,Medium business,2,
2019,Parkville,Administrative and Support Services,Small business,5,16
2019,Parkville,Education and Training,Large business,3,1177
2019,Parkville,Education and Training,Small business,12,119
2019,Parkville,"Electricity, Gas, Water and Waste Services",Non employing,5,0
2019,Parkville,Manufacturing,Large business,1,
2019,Parkville,Manufacturing,Small business,2,
2019,Parkville,Other Services,Medium business,5,146
2019,Parkville,"Professional, Scientific and Technical Services",Large business,1,
2019,Parkville,"Professional, Scientific and Technical Services",Small business,11,68
2019,Parkville,Wholesale Trade,Medium business,1,
2019,Port Melbourne,Accommodation and Food Services,Small business,16,97
2019,Port Melbourne,Arts and Recreation Services,Small business,6,38
2019,Port Melbourne,"Electricity, Gas, Water and Waste Services",Small business,3,26
2019,Port Melbourne,Health Care and Social Assistance,Non employing,1,
2019,Port Melbourne,Health Care and Social Assistance,Small business,5,44
2019,Port Melbourne,Information Media and Telecommunications,Large business,1,
2019,Port Melbourne,Manufacturing,Small business,58,412
2019,Port Melbourne,Public Administration and Safety,Non employing,2,
2019,Port Melbourne,Public Administration and Safety,Small business,10,75
2019,Port Melbourne,"Rental, Hiring and Real Estate Services",Small business,17,149
2019,Port Melbourne,Wholesale Trade,Large business,1,
2019,Port Melbourne,Wholesale Trade,Small business,43,331
2019,South Yarra,Accommodation and Food Services,Medium business,3,112
2019,South Yarra,Arts and Recreation Services,Non employing,4,0
2019,South Yarra,Education and Training,Small business,2,
2019,South Yarra,Manufacturing,Small business,1,
2019,South Yarra,Public Administration and Safety,Medium business,1,
2019,South Yarra,Retail Trade,Small business,4,16
2019,Southbank,Accommodation and Food Services,Large business,3,1431
2019,Southbank,Accommodation and Food Services,Small business,153,1282
2019,Southbank,Administrative and Support Services,Large business,1,
2019,Southbank,Administrative and Support Services,Medium business,17,914
2019,Southbank,Education and Training,Large business,2,
2019,Southbank,"Electricity, Gas, Water and Waste Services",Medium business,4,404
2019,Southbank,"Electricity, Gas, Water and Waste Services",Non employing,20,0
2019,Southbank,Information Media and Telecommunications,Medium business,12,938
2019,Southbank,Information Media and Telecommunications,Small business,6,44
2019,Southbank,Manufacturing,Small business,4,43
2019,Southbank,"Professional, Scientific and Technical Services",Large business,7,4114
2019,Southbank,"Professional, Scientific and Technical Services",Medium business,63,3480
2019,Southbank,Retail Trade,Small business,213,1511
2019,Southbank,"Transport, Postal and Warehousing",Large business,2,
2019,Southbank,Wholesale Trade,Medium business,5,246
2019,Southbank,Wholesale Trade,Small business,10,47
2019,West Melbourne (Industrial),Arts and Recreation Services,Non employing,8,0
2019,West Melbourne (Industrial),Construction,Small business,6,31
2019,West Melbourne (Industrial),Manufacturing,Small business,4,44
2019,West Melbourne (Industrial),"Professional, Scientific and Technical Services",Small business,5,53
2019,West Melbourne (Industrial),Retail Trade,Small business,3,22
2019,West Melbourne (Industrial),"Transport, Postal and Warehousing",Medium business,20,1216
2019,West Melbourne (Industrial),"Transport, Postal and Warehousing",Small business,23,195
2019,West Melbourne (Industrial),Wholesale Trade,Large business,1,
2019,West Melbourne (Industrial),Wholesale Trade,Medium business,4,143
2019,West Melbourne (Residential),Accommodation and Food Services,Medium business,2,
2019,West Melbourne (Residential),Education and Training,Medium business,8,342
2019,West Melbourne (Residential),Education and Training,Small business,15,123
2019,West Melbourne (Residential),Health Care and Social Assistance,Large business,1,
2019,West Melbourne (Residential),Health Care and Social Assistance,Medium business,4,235
2019,West Melbourne (Residential),Health Care and Social Assistance,Small business,21,102
2019,West Melbourne (Residential),Information Media and Telecommunications,Small business,4,35
2019,West Melbourne (Residential),Other Services,Small business,44,213
2019,West Melbourne (Residential),"Rental, Hiring and Real Estate Services",Non employing,2,
2019,West Melbourne (Residential),Retail Trade,Medium business,2,
2019,West Melbourne (Residential),Retail Trade,Small business,40,137
2020,Carlton,Accommodation and Food Services,Medium business,19,635
2020,Carlton,Construction,Medium business,1,
2020,Carlton,Construction,Small business,11,51
2020,Carlton,Education and Training,Small business,43,271
2020,Carlton,Information Media and Telecommunications,Medium business,5,257
2020,Carlton,Information Media and Telecommunications,Non employing,1,
2020,Carlton,Information Media and Telecommunications,Small business,7,53
2020,Carlton,Other Services,Non employing,9,0
2020,Carlton,"Professional, Scientific and Technical Services",Small business,92,564
2020,Carlton,Public Administration and Safety,Medium business,3,250
2020,Carlton,Retail Trade,Small business,101,453
2020,Carlton,Wholesale Trade,Medium business,1,
2020,Docklands,Accommodation and Food Services,Medium business,21,809
2020,Docklands,Accommodation and Food Services,Non employing,7,0
2020,Docklands,Administrative and Support Services,Medium business,7,345
2020,Docklands,"Electricity, Gas, Water and Waste Services",Large business,3,3721
2020,Docklands,"Electricity, Gas, Water and Waste Services",Non employing,9,0
2020,Docklands,Financial and Insurance Services,Large business,15,23873
2020,Docklands,Financial and Insurance Services,Small business,40,234
2020,Docklands,Information Media and Telecommunications,Medium business,6,434
2020,Docklands,Other Services,Medium business,3,297
2020,Docklands,Other Services,Small business,54,254
2020,Docklands,Retail Trade,Large business,2,
2020,Docklands,Retail Trade,Non employing,2,
2020,Docklands,Retail Trade,Small business,170,825
2020,Docklands,"Transport, Postal and Warehousing",Medium business,6,398
2020,Docklands,"Transport, Postal and Warehousing",Small business,21,149
2020,Docklands,Wholesale Trade,Small business,17,92
2020,East Melbourne,Accommodation and Food Services,Medium business,2,
2020,East Melbourne,Accommodation and Food Services,Small business,51,288
2020,East Melbourne,Administrative and Support Services,Small business,7,33
2020,East Melbourne,Arts and Recreation Services,Large business,2,
2020,East Melbourne,Construction,Medium business,2,
2020,East Melbourne,Education and Training,Large business,3,702
2020,East Melbourne,Financial and Insurance Services,Large business,1,
2020,East Melbourne,Financial and Insurance Services,Small business,8,38
2020,East Melbourne,Health Care and Social Assistance,Non employing,2,
2020,East Melbourne,Information Media and Telecommunications,Small business,4,48
2020,East Melbourne,Manufacturing,Large business,2,
2020,East Melbourne,Manufacturing,Small business,1,
2020,East Melbourne,Mining,Small business,1,
2020,East Melbourne,Other Services,Large business,1,
2020,East Melbourne,Other Services,Medium business,9,626
2020,East Melbourne,"Professional, Scientific and Technical Services",Medium business,11,625
2020,East Melbourne,Public Administration and Safety,Small business,4,45
2020,East Melbourne,"Rental, Hiring and Real Estate Services",Medium business,1,
2020,East Melbourne,"Transport, Postal and Warehousing",Non employing,1,
2020,Kensington,Accommodation and Food Services,Non employing,1,
2020,Kensington,Accommodation and Food Services,Small business,45,263
2020,Kensington,Administrative and Support Services,Medium business,3,138
2020,Kensington,Arts and Recreation Services,Large business,1,
2020,Kensington,Arts and Recreation Services,Non employing,63,0
2020,Kensington,Construction,Small business,20,157
2020,Kensington,"Electricity, Gas, Water and Waste Services",Non employing,9,0
2020,Kensington,Health Care and Social Assistance,Medium business,6,300
2020,Kensington,Health Care and Social Assistance,Small business,19,152
2020,Kensington,Information Media and Telecommunications,Medium business,2,
2020,Kensington,Information Media and Telecommunications,Small business,4,29
2020,Kensington,Manufacturing,Medium business,5,297
2020,Kensington,Other Services,Medium business,4,134
2020,Kensington,Other Services,Non employing,2,
2020,Kensington,"Professional, Scientific and Technical Services",Large business,1,
2020,Kensington,Public Administration and Safety,Medium business,2,
2020,Kensington,Retail Trade,Medium business,3,250
2020,Kensington,"Transport, Postal and Warehousing",Non employing,6,0
2020,Kensington,Wholesale Trade,Medium business,3,191
2020,Kensington,Wholesale Trade,Small business,26,150
2020,Melbourne (CBD),Accommodation and Food Services,Medium business,212,8637
2020,Melbourne (CBD),Accommodation and Food Services,Small business,1480,10975
2020,Melbourne (CBD),Administrative and Support Services,Medium business,84,4765
2020,Melbourne (CBD),Construction,Medium business,35,1549
2020,Melbourne (CBD),Education and Training,Non employing,8,0
2020,Melbourne (CBD),"Electricity, Gas, Water and Waste Services",Large business,7,6627
2020,Melbourne (CBD),"Electricity, Gas, Water and Waste Services",Small business,11,70
2020,Melbourne (CBD),Financial and Insurance Services,Medium business,171,9785
2020,Melbourne (CBD),Health Care and Social Assistance,Non employing,2,
2020,Melbourne (CBD),Information Media and Telecommunications,Large business,12,13922
2020,Melbourne (CBD),Information Media and Telecommunications,Medium business,31,1653
2020,Melbourne (CBD),Information Media and Telecommunications,Non employing,2,
2020,Melbourne (CBD),Manufacturing,Large business,1,
2020,Melbourne (CBD),Manufacturing,Medium business,8,551
2020,Melbourne (CBD),Manufacturing,Small business,183,601
2020,Melbourne (CBD),Mining,Large business,2,
2020,Melbourne (CBD),Mining,Medium business,4,152
2020,Melbourne (CBD),"Professional, Scientific and Technical Services",Small business,1103,7942
2020,Melbourne (CBD),Public Administration and Safety,Large business,29,19170
2020,Melbourne (CBD),"Rental, Hiring and Real Estate Services",Large business,7,2966
2020,Melbourne (CBD),"Rental, Hiring and Real Estate Services",Medium business,49,3149
2020,Melbourne (CBD),Retail Trade,Large business,3,1722
2020,Melbourne (CBD),Retail Trade,Medium business,67,2866
2020,Melbourne (CBD),Retail Trade,Non employing,13,0
2020,Melbourne (CBD),Retail Trade,Small business,1051,5596
2020,Melbourne (CBD),"Transport, Postal and Warehousing",Medium business,19,1157
2020,Melbourne (CBD),"Transport, Postal and Warehousing",Small business,51,329
2020,Melbourne (CBD),Wholesale Trade,Small business,92,457
2020,Melbourne (Remainder),Accommodation and Food Services,Large business,5,1914
2020,Melbourne (Remainder),Accommodation and Food Services,Medium business,7,307
2020,Melbourne (Remainder),Accommodation and Food Services,Small business,35,224
2020,Melbourne (Remainder),Arts and Recreation Services,Non employing,22,0
2020,Melbourne (Remainder),Health Care and Social Assistance,Non employing,2,
2020,Melbourne (Remainder),Health Care and Social Assistance,Small business,55,251
2020,Melbourne (Remainder),Other Services,Non employing,7,0
2020,Melbourne (Remainder),Other Services,Small business,12,64
2020,Melbourne (Remainder),"Professional, Scientific and Technical Services",Small business,14,129
2020,Melbourne (Remainder),Public Administration and Safety,Small business,2,
2020,Melbourne (Remainder),"Rental, Hiring and Real Estate Services",Medium business,2,
2020,Melbourne (Remainder),Retail Trade,Non employing,1,
2020,Melbourne (Remainder),"Transport, Postal and Warehousing",Non employing,2,
2020,North Melbourne,Accommodation and Food Services,Medium business,5,142
2020,North Melbourne,Accommodation and Food Services,Non employing,8,0
2020,North Melbourne,Accommodation and Food Services,Small business,119,544
2020,North Melbourne,"Agriculture, Forestry and Fishing",Small business,1,
2020,North Melbourne,Construction,Non employing,2,
2020,North Melbourne,Construction,Small business,20,171
2020,North Melbourne,Education and Training,Medium business,12,665
2020,North Melbourne,Education and Training,Non employing,1,
2020,North Melbourne,Financial and Insurance Services,Small business,11,63
2020,North Melbourne,Health Care and Social Assistance,Large business,2,
2020,North Melbourne,Health Care and Social Assistance,Small business,73,370
2020,North Melbourne,Information Media and Telecommunications,Medium business,4,136
2020,North Melbourne,Information Media and Telecommunications,Non employing,2,
2020,North Melbourne,Information Media and Telecommunications,Small business,11,69
2020,North Melbourne,Manufacturing,Small business,26,137
2020,North Melbourne,Other Services,Non employing,12,0
2020,North Melbourne,Public Administration and Safety,Medium business,4,227
2020,North Melbourne,Public Administration and Safety,Non employing,2,
2020,North Melbourne,Public Administration and Safety,Small business,3,18
2020,North Melbourne,"Rental, Hiring and Real Estate Services",Medium business,1,
2020,North Melbourne,"Rental, Hiring and Real Estate Services",Small business,17,102
2020,North Melbourne,Retail Trade,Medium business,4,283
2020,North Melbourne,"Transport, Postal and Warehousing",Small business,14,71
2020,North Melbourne,Wholesale Trade,Medium business,4,157
2020,North Melbourne,Wholesale Trade,Non employing,2,
2020,Parkville,Administrative and Support Services,Medium business,2,
2020,Parkville,Administrative and Support Services,Small business,1,
2020,Parkville,Education and Training,Small business,14,120
2020,Parkville,"Electricity, Gas, Water and Waste Services",Non employing,7,0
2020,Parkville,Financial and Insurance Services,Small business,7,37
2020,Parkville,Manufacturing,Small business,1,
2020,Parkville,Other Services,Small business,11,54
2020,Parkville,"Professional, Scientific and Technical Services",Medium business,8,406
2020,Parkville,"Rental, Hiring and Real Estate Services",Non employing,1,
2020,Parkville,"Transport, Postal and Warehousing",Non employing,2,
2020,Parkville,Wholesale Trade,Medium business,1,
2020,Port Melbourne,Accommodation and Food Services,Small business,16,95
2020,Port Melbourne,Administrative and Support Services,Medium business,4,300
2020,Port Melbourne,Arts and Recreation Services,Medium business,1,
2020,Port Melbourne,Arts and Recreation Services,Non employing,5,0
2020,Port Melbourne,Arts and Recreation Services,Small business,7,40
2020,Port Melbourne,Construction,Medium business,18,648
2020,Port Melbourne,Education and Training,Medium business,1,
2020,Port Melbourne,Education and Training,Non employing,1,
2020,Port Melbourne,Education and Training,Small business,8,80
2020,Port Melbourne,"Electricity, Gas, Water and Waste Services",Medium business,1,
2020,Port Melbourne,Health Care and Social Assistance,Medium business,1,
2020,Port Melbourne,Information Media and Telecommunications,Medium business,6,240
2020,Port Melbourne,Public Administration and Safety,Small business,10,75
2020,Port Melbourne,"Transport, Postal and Warehousing",Medium business,11,439
2020,Port Melbourne,"Transport, Postal and Warehousing",Non employing,5,0
2020,South Yarra,Accommodation and Food Services,Non employing,2,
2020,South Yarra,Administrative and Support Services,Small business,1,
2020,South Yarra,Education and Training,Medium business,3,142
2020,South Yarra,Information Media and Telecommunications,Small business,2,
2020,South Yarra,Other Services,Small business,7,23
2020,South Yarra,Retail Trade,Small business,3,12
2020,Southbank,Accommodation and Food Services,Large business,3,1431
2020,Southbank,Accommodation and Food Services,Medium business,72,3350
2020,Southbank,Accommodation and Food Services,Small business,157,1395
2020,Southbank,Administrative and Support Services,Medium business,15,711
2020,Southbank,"Agriculture, Forestry and Fishing",Small business,1,
2020,Southbank,Arts and Recreation Services,Large business,6,7895
2020,Southbank,Arts and Recreation Services,Medium business,19,1279
2020,Southbank,Arts and Recreation Services,Non employing,12,0
2020,Southbank,Arts and Recreation Services,Small business,19,111
2020,Southbank,Construction,Medium business,15,622
2020,Southbank,Construction,Small business,14,139
2020,Southbank,Education and Training,Large business,2,
2020,Southbank,Education and Training,Non employing,1,
2020,Southbank,Financial and Insurance Services,Large business,1,
2020,Southbank,Financial and Insurance Services,Medium business,13,880
2020,Southbank,Mining,Large business,1,
2020,Southbank,Other Services,Small business,18,78
2020,Southbank,"Professional, Scientific and Technical Services",Small business,41,365
2020,Southbank,"Rental, Hiring and Real Estate Services",Medium business,4,288
2020,Southbank,"Rental, Hiring and Real Estate Services",Non employing,2,
2020,Southbank,"Rental, Hiring and Real Estate Services",Small business,23,186
2020,Southbank,Retail Trade,Non employing,1,
2020,Southbank,Retail Trade,Small business,210,1381
2020,Southbank,"Transport, Postal and Warehousing",Small business,5,37
2020,West Melbourne (Industrial),Accommodation and Food Services,Small business,4,10
2020,West Melbourne (Industrial),"Electricity, Gas, Water and Waste Services",Small business,2,
2020,West Melbourne (Industrial),Information Media and Telecommunications,Non employing,3,0
2020,West Melbourne (Industrial),Manufacturing,Small business,1,
2020,West Melbourne (Industrial),Other Services,Medium business,1,
2020,West Melbourne (Industrial),Other Services,Small business,4,29
2020,West Melbourne (Industrial),Retail Trade,Small business,3,19
2020,West Melbourne (Industrial),"Transport, Postal and Warehousing",Large business,4,1581
2020,West Melbourne (Industrial),"Transport, Postal and Warehousing",Medium business,18,1056
2020,West Melbourne (Residential),Administrative and Support Services,Small business,6,25
2020,West Melbourne (Residential),Arts and Recreation Services,Medium business,4,356
2020,West Melbourne (Residential),Education and Training,Medium business,5,297
2020,West Melbourne (Residential),Education and Training,Small business,11,91
2020,West Melbourne (Residential),Other Services,Non employing,5,0
2020,West Melbourne (Residential),"Professional, Scientific and Technical Services",Non employing,2,
2020,West Melbourne (Residential),"Professional, Scientific and Technical Services",Small business,71,503
2020,West Melbourne (Residential),Retail Trade,Medium business,2,
2020,West Melbourne (Residential),Retail Trade,Non employing,1,
2020,West Melbourne (Residential),Retail Trade,Small business,31,106
2020,West Melbourne (Residential),"Transport, Postal and Warehousing",Small business,12,62
2021,Carlton,Arts and Recreation Services,Non employing,22,0
2021,Carlton,Arts and Recreation Services,Small business,19,90
2021,Carlton,Education and Training,Non employing,13,0
2021,Carlton,Financial and Insurance Services,Medium business,4,171
2021,Carlton,Information Media and Telecommunications,Medium business,5,257
2021,Carlton,"Professional, Scientific and Technical Services",Medium business,20,685
2021,Carlton,Public Administration and Safety,Large business,3,934
2021,Carlton,"Rental, Hiring and Real Estate Services",Small business,20,80
2021,Carlton,Retail Trade,Non employing,3,0
2021,Carlton,Wholesale Trade,Small business,10,55
2021,Docklands,Accommodation and Food Services,Medium business,22,904
2021,Docklands,Accommodation and Food Services,Non employing,6,0
2021,Docklands,Accommodation and Food Services,Small business,239,1450
2021,Docklands,Arts and Recreation Services,Medium business,5,256
2021,Docklands,Arts and Recreation Services,Small business,24,151
2021,Docklands,Construction,Large business,1,
2021,Docklands,Education and Training,Large business,1,
2021,Docklands,Education and Training,Medium business,8,610
2021,Docklands,Financial and Insurance Services,Large business,15,25583
2021,Docklands,Financial and Insurance Services,Non employing,1,
2021,Docklands,Financial and Insurance Services,Small business,25,130
2021,Docklands,Health Care and Social Assistance,Small business,29,120
2021,Docklands,Manufacturing,Medium business,3,270
2021,Docklands,"Professional, Scientific and Technical Services",Non employing,1,
2021,Docklands,Public Administration and Safety,Large business,5,8757
2021,Docklands,Public Administration and Safety,Medium business,10,911
2021,Docklands,"Rental, Hiring and Real Estate Services",Small business,51,293
2021,Docklands,Retail Trade,Small business,135,678
2021,Docklands,"Transport, Postal and Warehousing",Large business,4,2185
2021,East Melbourne,Accommodation and Food Services,Large business,3,3321
2021,East Melbourne,Administrative and Support Services,Medium business,1,
2021,East Melbourne,Arts and Recreation Services,Small business,9,48
2021,East Melbourne,Construction,Small business,1,
2021,East Melbourne,Financial and Insurance Services,Large business,1,
2021,East Melbourne,Financial and Insurance Services,Medium business,4,272
2021,East Melbourne,Financial and Insurance Services,Small business,8,38
2021,East Melbourne,Health Care and Social Assistance,Large business,4,2372
2021,East Melbourne,Health Care and Social Assistance,Medium business,33,1595
2021,East Melbourne,Health Care and Social Assistance,Non employing,2,
2021,East Melbourne,Manufacturing,Large business,2,
2021,East Melbourne,Manufacturing,Small business,1,
2021,East Melbourne,Other Services,Non employing,8,0
2021,East Melbourne,"Professional, Scientific and Technical Services",Small business,47,315
2021,East Melbourne,"Rental, Hiring and Real Estate Services",Small business,6,31
2021,East Melbourne,Retail Trade,Small business,12,75
2021,East Melbourne,"Transport, Postal and Warehousing",Non employing,1,
2021,Kensington,Accommodation and Food Services,Small business,47,251
2021,Kensington,Administrative and Support Services,Medium business,1,
2021,Kensington,"Agriculture, Forestry and Fishing",Small business,1,
2021,Kensington,Arts and Recreation Services,Medium business,13,744
2021,Kensington,Arts and Recreation Services,Non employing,63,0
2021,Kensington,Construction,Medium business,2,
2021,Kensington,Education and Training,Medium business,5,170
2021,Kensington,"Electricity, Gas, Water and Waste Services",Non employing,8,0
2021,Kensington,Information Media and Telecommunications,Medium business,2,
2021,Kensington,Manufacturing,Medium business,5,269
2021,Kensington,Manufacturing,Non employing,2,
2021,Kensington,Manufacturing,Small business,26,132
2021,Kensington,Other Services,Small business,35,146
2021,Kensington,"Transport, Postal and Warehousing",Non employing,5,0
2021,Melbourne (CBD),Accommodation and Food Services,Non employing,20,0
2021,Melbourne (CBD),Administrative and Support Services,Non employing,2,
2021,Melbourne (CBD),"Agriculture, Forestry and Fishing",Small business,3,3
2021,Melbourne (CBD),Arts and Recreation Services,Large business,2,
2021,Melbourne (CBD),Construction,Small business,77,552
2021,Melbourne (CBD),Education and Training,Small business,203,1743
2021,Melbourne (CBD),Financial and Insurance Services,Large business,32,24519
2021,Melbourne (CBD),Financial and Insurance Services,Small business,434,2969
2021,Melbourne (CBD),Health Care and Social Assistance,Large business,2,
2021,Melbourne (CBD),Information Media and Telecommunications,Non employing,4,0
2021,Melbourne (CBD),Manufacturing,Large business,1,
2021,Melbourne (CBD),Manufacturing,Small business,184,564
2021,Melbourne (CBD),Mining,Large business,2,
2021,Melbourne (CBD),Mining,Small business,16,120
2021,Melbourne (CBD),Other Services,Non employing,74,0
2021,Melbourne (CBD),"Professional, Scientific and Technical Services",Small business,1027,7255
2021,Melbourne (CBD),"Rental, Hiring and Real Estate Services",Medium business,51,3316
2021,Melbourne (CBD),Retail Trade,Large business,3,1722
2021,Melbourne (CBD),Retail Trade,Medium business,74,3258
2021,Melbourne (CBD),"Transport, Postal and Warehousing",Large business,4,4071
2021,Melbourne (CBD),"Transport, Postal and Warehousing",Non employing,11,0
